cln_index,제품관심,username,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
671,13,babyjongok,517,735,78
672,18,babyjongok,586,652,107
673,14,babyjongok,440,671,108
674,11,babyjongok,536,628,74
675,13,babyjongok,414,751,95
676,10,babyjongok,471,689,70
677,15,babyjongok,406,749,112
678,6,babyjongok,476,711,40
679,14,babyjongok,542,540,109
680,9,babyjongok,438,626,75
681,9,babyjongok,453,540,84
682,10,babyjongok,382,527,113
683,9,babyjongok,448,633,72
684,11,babyjongok,421,548,108
685,10,babyjongok,313,598,121
686,6,babyjongok,415,629,52
687,9,babyjongok,459,548,81
688,8,babyjongok,443,397,103
689,9,babyjongok,363,554,102
690,3,babyjongok,497,451,30
691,8,babyjongok,507,383,94
692,13,seer__eul,121,1037,96
693,12,seer__eul,94,1574,75
694,24,seer__eul,95,1473,158
695,18,seer__eul,108,1529,101
696,14,seer__eul,262,780,63
697,19,seer__eul,159,1034,107
698,19,seer__eul,150,1243,94
699,15,seer__eul,102,1322,102
700,14,seer__eul,141,990,92
701,11,seer__eul,135,1182,63
702,18,seer__eul,142,973,120
703,9,seer__eul,138,1274,47
704,7,seer__eul,156,1103,37
705,13,seer__eul,199,953,63
706,9,seer__eul,116,905,79
707,11,seer__eul,222,963,47
708,5,seer__eul,95,1048,46
709,12,seer__eul,140,1035,76
710,5,seer__eul,217,685,31
711,13,seer__eul,217,786,70
712,10,seer__eul,98,1564,60
713,15,seer__eul,204,762,89
714,16,seer__eul,135,982,111
715,11,seer__eul,434,503,46
716,7,seer__eul,153,1130,37
717,10,seer__eul,258,739,48
718,14,seer__eul,203,892,71
719,7,seer__eul,218,633,46
720,11,seer__eul,455,500,44
721,22,seer__eul,121,1044,161
722,16,seer__eul,245,730,82
723,11,seer__eul,69,1167,126
724,13,seer__eul,448,421,64
725,3,seer__eul,137,898,22
726,10,seer__eul,226,816,50
727,10,seer__eul,151,915,67
728,12,seer__eul,178,1093,57
729,9,seer__eul,196,775,54
730,10,seer__eul,1233,266,28
731,6,seer__eul,261,694,30
732,5,seer__eul,211,842,26
733,7,seer__eul,238,664,41
734,8,seer__eul,237,714,43
735,14,seer__eul,0,0,222
736,4,seer__eul,261,694,20
737,5,seer__eul,210,785,28
738,4,seer__eul,142,982,26
739,5,seer__eul,162,808,35
740,15,seer__eul,301,654,70
741,0,seer__eul,194,736,0
742,7,seer__eul,451,356,40
743,10,seer__eul,324,648,44
744,5,seer__eul,133,796,43
745,12,seer__eul,418,317,83
746,6,seer__eul,201,484,57
747,0,seer__eul,153,571,0
748,13,seer__eul,142,853,99
